	observed	singles	doubles	shannon	equitability	chao1	PD_whole_tree
87	8801.0	6671.0	931.0	7.08725738601	0.540869499557	32672.0139485	433.81464
44	6423.0	4729.0	733.0	6.76493594167	0.534818487747	21653.7302452	331.64956
103	6075.0	4457.0	709.0	6.94977185314	0.552944152057	20061.1915493	342.95212
16	8539.0	6295.0	950.0	6.91692911478	0.529633063748	29370.0883281	427.49481
115	6909.0	5221.0	731.0	6.56143031014	0.51445004999	25524.8606557	359.68987
92	6415.0	4641.0	745.0	7.01101173033	0.554351408364	20848.1367292	328.7015
37	4982.0	3749.0	538.0	5.3410208863	0.43484769709	18016.5565863	237.48411
42	4828.0	3543.0	569.0	5.11512966395	0.417998030626	15836.1631579	217.09538
41	5166.0	3809.0	578.0	5.82935546132	0.472593019126	17691.6234888	242.43398
29	10353.0	7928.0	1060.0	7.4903712679	0.561591343732	39969.0490104	416.54224
117	7141.0	5423.0	784.0	6.84599052363	0.534763196131	25869.3477707	372.56259
35	8687.0	6674.0	848.0	7.10286573159	0.542839884858	34915.2697291	378.55856
109	8520.0	6488.0	886.0	7.23387659326	0.554038241016	32244.7215333	436.56403
69	7986.0	5838.0	932.0	7.87854129228	0.607759382965	26247.7395498	401.18267
28	8566.0	6338.0	1008.0	7.02655483501	0.537839596802	28468.827552	434.72614
26	6992.0	5087.0	834.0	6.76017672301	0.529317801119	22484.5041916	341.70427
88	7936.0	5748.0	894.0	6.70078108742	0.51726721804	26390.6122905	376.95663
74	7124.0	5332.0	779.0	6.25673104497	0.488865478801	25345.0846154	332.31528
6	7928.0	6133.0	836.0	6.93838049062	0.535668887243	30393.6845878	389.3746
43	7323.0	5142.0	927.0	7.19946869934	0.560784066247	21566.0075431	381.56363
56	7626.0	5727.0	831.0	7.1106007049	0.551349937709	27333.2127404	409.18198
107	7521.0	5763.0	758.0	7.01750230885	0.544976393261	29396.1027668	384.07004
2	7450.0	5645.0	822.0	6.31347481625	0.490823500574	26806.2454435	364.06037
84	6719.0	4799.0	780.0	6.14693628059	0.48347659134	21460.1024328	295.54844
82	5157.0	3917.0	510.0	6.50113962866	0.527162899052	20165.778865	256.05213
46	8998.0	6618.0	1007.0	7.90319336528	0.601671832856	30719.8779762	458.10036
54	7826.0	5936.0	780.0	6.05557764327	0.468188482701	30380.5198464	309.52655
cps178	4093.0	2720.0	556.0	7.70779967095	0.64237322422	10731.8509874	239.34865
73	5223.0	3935.0	512.0	5.02425300416	0.406800267232	20311.0019493	236.03743
105	5860.0	4417.0	626.0	7.16022478318	0.572054406752	21414.6028708	337.47901
113	7701.0	5741.0	894.0	7.21596959613	0.558908261568	26110.6871508	404.11974
108	5096.0	3683.0	598.0	6.29894594916	0.511479451981	16415.5375626	295.39435
34	8253.0	6048.0	974.0	6.89931271866	0.530279782608	27008.0030769	393.12314
11	6139.0	4775.0	591.0	5.90239687795	0.469047706405	25392.2516892	296.47628
101	7780.0	5799.0	874.0	6.92120584298	0.535466844009	26992.9154286	388.86038
99	5171.0	3767.0	563.0	6.22156591991	0.504332939286	17747.7039007	279.63481
9	8304.0	6317.0	866.0	6.76642624168	0.519711132466	31313.3264129	395.90984
10	9001.0	6835.0	983.0	7.20839967192	0.548756945999	32735.9542683	433.9361
100	7176.0	5541.0	704.0	6.813907727	0.531963992869	28947.0212766	366.43592
3	10514.0	7864.0	1205.0	7.72408779307	0.578149244474	36150.2487562	516.51162
1	7078.0	5316.0	758.0	6.90191232629	0.539670365374	25691.0039526	372.53292
cps184	4546.0	3021.0	649.0	7.46960180421	0.614762714735	11564.0153846	259.80396
89	12214.0	9061.0	1451.0	8.018925349	0.590658425826	40482.822314	552.39182
36	8758.0	6564.0	931.0	7.17988204882	0.548233855844	31869.3369099	381.63865
47	6733.0	5004.0	715.0	6.74059881472	0.530044894706	24215.5502793	353.71763
22	5196.0	3724.0	633.0	5.87008876941	0.47557323569	16130.1104101	291.60857
13	5655.0	4135.0	669.0	7.12825438186	0.571847281245	18411.7835821	329.51831
81	8418.0	6165.0	957.0	6.99054468586	0.53611506511	28251.5386221	392.9697
5	6174.0	4377.0	789.0	6.86228575356	0.544972310191	18296.6278481	344.56053
111	5684.0	4246.0	619.0	6.74351379782	0.540662306533	20219.7016129	315.57507
106	5959.0	4497.0	633.0	6.04820341495	0.482280007273	21904.1987382	303.72394
104	5638.0	4064.0	670.0	6.34611684668	0.509279613558	17942.04769	319.35858
